NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME,count
Konya,TR521,ALL#WORLD#ASIA#TUR#TR5#TR52#TR521,false,NaN,DEPARTMENT,TUR,3.0,DEPARTMENT,2
Banjarmasin,BANJARMASIN,ALL#WORLD#ASIA#IDN#SOUTHKALIMANTAN#BANJARMASIN,false,NaN,CITY,IDN,2.0,REGENCY,2
Banjarmasin,PORT_IDBDJ,ALL#WORLD#ASIA#IDN#PORT_IDBDJ,false,NaN,PORT_TERMINAL,IDN,1.0,PORT_TERMINAL,2
Pfaffenhofen an der Ilm,PFAFFENHOFENANDERILM---GER,ALL#WORLD#EUR#DEU#BAVAR#PFAFFENHOFENANDERILM---GER,false,NaN,TERRITORY,DEU,2.0,DISTRICT,2
Pfaffenhofen an der Ilm,DE21J,ALL#WORLD#EUR#DEU#DE2#DE21#DE21J,false,NaN,DEPARTMENT,DEU,3.0,MUNICIPALITY,2
Shekou,SHEKO,ALL#WORLD#ASIA#CHN#GUANG#SHEKO,false,NaN,CITY,CHN,2.0,PREFECTURE-LEVEL DIVISION,2
Shekou,PORT_CNSHK,ALL#WORLD#ASIA#CHN#PORT_CNSHK,false,NaN,PORT_TERMINAL,CHN,1.0,PORT_TERMINAL,2
Beihai,PORT_CNBHY,ALL#WORLD#ASIA#CHN#PORT_CNBHY,false,NaN,PORT_TERMINAL,CHN,1.0,PORT_TERMINAL,2
Beihai,BEIHAI,ALL#WORLD#ASIA#CHN#GUANX#BEIHAI,false,NaN,CITY,CHN,2.0,PREFECTURE-LEVEL DIVISION,2
Catania,ITCAT,ALL#WORLD#EUR#ITA#ITAI#ITSIC#ITCAT,false,NaN,CITY,ITA,3.0,MUNICIPALITY,2
Catania,ITG17,ALL#WORLD#EUR#ITA#ITG#ITG1#ITG17,false,NaN,DEPARTMENT,ITA,3.0,MUNICIPALITY,2
Fürstenfeldbruck,DE21C,ALL#WORLD#EUR#DEU#DE2#DE21#DE21C,false,NaN,DEPARTMENT,DEU,3.0,MUNICIPALITY,2
Fürstenfeldbruck,FRSTENFELDBRUCK---GER,ALL#WORLD#EUR#DEU#BAVAR#FRSTENFELDBRUCK---GER,false,NaN,TERRITORY,DEU,2.0,DISTRICT,2
Paris,PAR,ALL#WORLD#EUR#FRA#PAR,false,NaN,CITY,FRA,1.0,METROPOLITAN REGION,2
Paris,FR101,ALL#WORLD#EUR#FRA#FR1#FR10#FR101,false,NaN,DEPARTMENT,FRA,3.0,ARRONDISSEMENT,2
Rengat,PORT_IDRGT,ALL#WORLD#ASIA#IDN#PORT_IDRGT,false,NaN,PORT_TERMINAL,IDN,1.0,PORT_TERMINAL,2
Rengat,RENGAT,ALL#WORLD#ASIA#IDN#RIAU#RENGAT,false,NaN,CITY,IDN,2.0,REGENCY,2
Semarang,PORT_IDSRG,ALL#WORLD#ASIA#IDN#PORT_IDSRG,false,NaN,PORT_TERMINAL,IDN,1.0,PORT_TERMINAL,2
Semarang,SEMAR,ALL#WORLD#ASIA#IDN#SEMAR,false,NaN,CITY,IDN,1.0,GEOGRAPHICAL UNIT,2
Kayseri,TR721,ALL#WORLD#ASIA#TUR#TR7#TR72#TR721,false,NaN,DEPARTMENT,TUR,3.0,DEPARTMENT,2
Kayseri,KAYSR,ALL#WORLD#ASIA#TUR#KAYSR,false,NaN,STATE,TUR,1.0,PROVINCE,2
Kazan,KAZAN,ALL#WORLD#EUR#RUS#VOLFD#TATFS#KAZAN,false,NaN,CITY,RUS,3.0,THIRD-LEVEL ADMINISTRATIVE DIVISION,2
Kazan,PORT_RUKZN,ALL#WORLD#EUR#RUS#PORT_RUKZN,false,NaN,PORT_TERMINAL,RUS,1.0,PORT_TERMINAL,2
Central Italy,ITAC,ALL#WORLD#EUR#ITA#ITAC,false,NaN,NATIONAL_REGION,ITA,1.0,AUTONOMOUS REGION,2
Central Italy,ITI,ALL#WORLD#EUR#ITA#ITI,false,NaN,NATIONAL_REGION,ITA,1.0,AUTONOMOUS REGION,2
Imabari,IMABARI,ALL#WORLD#ASIA#JPN#IMABARI,false,NaN,CITY,JPN,1.0,PREFECTURE,2
Imabari,PORT_JPIMB,ALL#WORLD#ASIA#JPN#PORT_JPIMB,false,NaN,PORT_TERMINAL,JPN,1.0,PORT_TERMINAL,2
Lithuania,LTU,ALL#WORLD#EUR#LTU,false,NaN,COUNTRY,Europe,0.0,COUNTRY,2
Lithuania,LT0,ALL#WORLD#EUR#LTU#LT0,false,NaN,NATIONAL_REGION,LTU,1.0,COUNTY,2
Porbandar,PORT_INPBD,ALL#WORLD#ASIA#IND#PORT_INPBD,false,NaN,PORT_TERMINAL,IND,1.0,PORT_TERMINAL,2
Porbandar,PORB,ALL#WORLD#ASIA#IND#WESTI#GUJAR#PORB,false,NaN,CITY,IND,3.0,DISTRICT,2
Münster,DEA3,ALL#WORLD#EUR#DEU#DEA#DEA3,false,NaN,REGION,DEU,2.0,DISTRICT,2
Münster,DEU_NW_MUN,ALL#WORLD#EUR#DEU#DE-NW#DEU_NW_MUN,false,NaN,CITY,DEU,2.0,DISTRICT,2
Nikolayev,NIKOLAY,ALL#WORLD#EUR#UKR#NIKOLAY,false,NaN,CITY,UKR,1.0,CITY,2
Nikolayev,PORT_NIKOLAY,ALL#WORLD#EUR#UKR#PORT_NIKOLAY,false,NaN,PORT_TERMINAL,UKR,1.0,PORT_TERMINAL,2
Zurich,ZUR,ALL#WORLD#EUR#CHE#ZUR,false,NaN,CITY,CHE,1.0,CANTON,3
Zurich,CH040,ALL#WORLD#EUR#CHE#CH0#CH04#CH040,false,NaN,DEPARTMENT,CHE,3.0,MUNICIPALITY,3
Zurich,CH04,ALL#WORLD#EUR#CHE#CH0#CH04,false,NaN,REGION,CHE,2.0,DISTRICT,3
Burgenland,AUT_BURGENLAND,ALL#WORLD#EUR#AUT#AUT_BURGENLAND,false,NaN,COUNTY,AUT,1.0,STATE,2
Burgenland,AT11,ALL#WORLD#EUR#AUT#AT1#AT11,false,NaN,REGION,AUT,2.0,DISTRICT,2
Sfax,SFAX,ALL#WORLD#AFR#TUN#SFAX,false,NaN,CITY,TUN,1.0,GOVERNORATE,2
Sfax,PORT_TNSFA,ALL#WORLD#AFR#TUN#PORT_TNSFA,false,NaN,PORT_TERMINAL,TUN,1.0,PORT_TERMINAL,2
Torres,TORRES,ALL#WORLD#SOAME#BRA#BRASO#RIOGS#TORRES,false,NaN,CITY,BRA,3.0,CITY,2
Torres,PORT_BRTOR,ALL#WORLD#SOAME#BRA#PORT_BRTOR,false,NaN,PORT_TERMINAL,BRA,1.0,PORT_TERMINAL,2
Hesse,DE71,ALL#WORLD#EUR#DEU#DE7#DE71,false,NaN,REGION,DEU,2.0,DISTRICT,2
Hesse,DE7,ALL#WORLD#EUR#DEU#DE7,false,NaN,NATIONAL_REGION,DEU,1.0,STATE,2
Segeberg,DEF0D,ALL#WORLD#EUR#DEU#DEF#DEF0#DEF0D,false,NaN,DEPARTMENT,DEU,3.0,MUNICIPALITY,2
Segeberg,SEGEBERG-GER,ALL#WORLD#EUR#DEU#SCHLE#SEGEBERG-GER,false,NaN,TERRITORY,DEU,2.0,DISTRICT,2
Incheon,INCHE,ALL#WORLD#ASIA#KOR#INCHE,false,NaN,CITY,KOR,1.0,SPECIAL CITY,2
Incheon,PORT_KRINC,ALL#WORLD#ASIA#KOR#PORT_KRINC,false,NaN,PORT_TERMINAL,KOR,1.0,PORT_TERMINAL,2
Kassel,KASSEL--GER,ALL#WORLD#EUR#DEU#HESSE#KASSEL--GER,false,NaN,TERRITORY,DEU,2.0,DISTRICT,2
Kassel,DE731,ALL#WORLD#EUR#DEU#DE7#DE73#DE731,false,NaN,DEPARTMENT,DEU,3.0,MUNICIPALITY,2
Annaba,ANNA,ALL#WORLD#AFR#DZA#ANNA,false,NaN,REGION,DZA,1.0,PROVINCE,2
Annaba,PORT_DZAAE,ALL#WORLD#AFR#DZA#PORT_DZAAE,false,NaN,PORT_TERMINAL,DZA,1.0,PORT_TERMINAL,2
Harghita,HRGH,ALL#WORLD#EUR#ROU#HRGH,false,NaN,COUNTY,ROU,1.0,DEPARTMENT,2
Harghita,RO124,ALL#WORLD#EUR#ROU#RO1#RO12#RO124,false,NaN,DEPARTMENT,ROU,3.0,DEPARTMENT,2
Dnipriany,DNIPRI,ALL#WORLD#EUR#UKR#SOUKR#KHERS#DNIPRI,false,NaN,CITY,UKR,3.0,CITY,2
