NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME,count
Osmaniye,TR633,ALL#WORLD#ASIA#TUR#TR6#TR63#TR633,false,,DEPARTMENT,TUR,3,DEPARTMENT,2
Szczecin,PORT_PLSZZ,ALL#WORLD#EUR#POL#PORT_PLSZZ,false,,PORT_TERMINAL,POL,1,PORT_TERMINAL,2
Tsuruga,PORT_JPTRG,ALL#WORLD#ASIA#JPN#PORT_JPTRG,false,,PORT_TERMINAL,JPN,1,PORT_TERMINAL,2
Bagaevskaya,PORT_RUBGV,ALL#WORLD#EUR#RUS#PORT_RUBGV,false,,PORT_TERMINAL,RUS,1,PORT_TERMINAL,2
Celle,DE931,ALL#WORLD#EUR#DEU#DE9#DE93#DE931,false,,DEPARTMENT,DEU,3,MUNICIPALITY,2
Álava,ES211,ALL#WORLD#EUR#ESP#ES2#ES21#ES211,false,,DEPARTMENT,ESP,3,COMARCA,2
San Lorenzo,PORT_ARSLO,ALL#WORLD#SOAME#ARG#PORT_ARSLO,false,,PORT_TERMINAL,ARG,1,PORT_TERMINAL,2
Higashiharima,PORT_JPHHR,ALL#WORLD#ASIA#JPN#PORT_JPHHR,false,,PORT_TERMINAL,JPN,1,PORT_TERMINAL,2
Trostyanka,PORT_TROSTY,ALL#WORLD#EUR#RUS#PORT_TROSTY,false,,PORT_TERMINAL,RUS,1,PORT_TERMINAL,2
Okayama Airport,PORT_JPOKJ,ALL#WORLD#ASIA#JPN#PORT_JPOKJ,false,,PORT_TERMINAL,JPN,1,PORT_TERMINAL,2
Biscay,BISCAY,ALL#WORLD#EUR#ESP#BISCAY,false,,NATIONAL_REGION,ESP,1,AUTONOMOUS COMMUNITY,2
Gipuzkoa,ES212,ALL#WORLD#EUR#ESP#ES2#ES21#ES212,false,,DEPARTMENT,ESP,3,COMARCA,2
Portland,PORTENN,ALL#WORLD#NOAME#USA#APPAL#TENNE#PORTENN,false,,CITY,USA,3,CITY,3
Douala,PORT_CMDLA,ALL#WORLD#AFR#CMR#PORT_CMDLA,false,,PORT_TERMINAL,CMR,1,PORT_TERMINAL,2
Canadian Prairies,PRAIRIES,ALL#WORLD#NOAME#CAN#PRAIRIES,false,,NATIONAL_REGION,CAN,1,PROVINCE,2
"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir",TUR_KIR_AKS_NIG,ALL#WORLD#ASIA#TUR#TUR_KIR_AKS_NIG,false,,REGION,TUR,1,PROVINCE,2
Osaka Sakai,PORT_JPOSA,ALL#WORLD#ASIA#JPN#PORT_JPOSA,false,,PORT_TERMINAL,JPN,1,PORT_TERMINAL,2
Port Elizabeth,ELIZA,ALL#WORLD#AFR#ZAF#ELIZA,false,,CITY,ZAF,1,PROVINCE,2
