NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME
Phu My,PHUMY,ALL#WORLD#ASIA#VNM#PHUMY,false,,CITY
 Brebes,BREBES,ALL#WORLD#ASIA#IDN#CENTRALJAVA#BREBES,false,,REGION
Burdur,TR613,ALL#WORLD#WESTE#TUR#TR6#TR61#TR613,false,,DEPARTMENT
Tirschenreuth,DE23A,ALL#WORLD#EUR#DEU#DE2#DE23#DE23A,false,,DEPARTMENT
APM,apm,ALL#WORLD#CTLAM#GTM#ESCGU#PUQGU#apm,false,,PORT_TERMINAL
Recalada,PORT_RECALADA,ALL#WORLD#Americas#SOAME#ARG#SE_BUENOSAIRES#PORT_RECALADA,false,,CITY
Tokuyama,TOKO,ALL#WORLD#ASIA#JPN#TOKO,false,,CITY
Basel,BAS,ALL#WORLD#WESTE#CHE#BAS,false,,CITY
East Coast India,AREA_ECI,ALL#WORLD#AREA_ECI,false,,REGION
South Atlantic,SATLANTICUSA,ALL#WORLD#NOAME#USA#SATLANTICUSA,false,,REGION
Bartın,TR813,ALL#WORLD#WESTE#TUR#TR8#TR81#TR813,false,,DEPARTMENT
ESZ Extra-Regio NUTS 1,ESZ,ALL#WORLD#EUR#ESP#ESZ,false,,NATIONAL_REGION
Silvania,SILVANIA,ALL#WORLD#Americas#SOAME#BRA#GOIAS#SILVANIA,false,,CITY
Kaiyuan,Kaiyuan,ALL#WORLD#ASIA#CHN#LIAON#Kaiyuan,false,,CITY
Caspian Sea Russia,CASPRUS,ALL#WORLD#CIS#RUS#CASPRUS,false,,REGION
US/SAM/SAF,US_SAM_SAF,US_SAM_SAF,true,[],
Aracaju,PORT_BRAJU,ALL#WORLD#Americas#SOAME#BRA#PORT_BRAJU,false,,PORT_TERMINAL
Marilandia,MARILANDIA,ALL#WORLD#Americas#SOAME#BRA#BRANE#ESPIR#MARILANDIA,false,,CITY
SAM/EU,SAM_EU,SAM_EU,true,[],
SAN LUIS ARG,SAN_LUIS,ALL#WORLD#Americas#SOAME#ARG#SAN_LUIS,false,,NATIONAL_REGION
 Dél-Dunántúl,HUN_SOUTH_TRANSDANUB,ALL#WORLD#EUR#HUN#HUN_SOUTH_TRANSDANUB,false,,REGION
Joaquim Tavora,JOAQUIM_TAVORA,ALL#WORLD#Americas#SOAME#BRA#BRASO#PARAN#JOAQUIM_TAVORA,false,,CITY
Drôme,FRK23,ALL#WORLD#EUR#FRA#FRK#FRK2#FRK23,false,,DEPARTMENT
Park Forest,PFST,ALL#WORLD#NOAME#USA#EASCB#ILLIN#PFST,false,,CITY
Northwest OK,NWOKLAH,ALL#WORLD#NOAME#USA#SOPLA#OKLAH#NWOKLAH,false,,REGION
Malta,MT00,ALL#WORLD#EUR#MLT#MT0#MT00,false,,REGION
Hambantota International Port,PORT_HAM,ALL#WORLD#ASIA#LKA#PORT_HAM,false,,PORT_TERMINAL
Feodosia District,UA449,ALL#WORLD#CIS#UKR#UA4#UA44#UA449,false,,DEPARTMENT
Safi,PORT_MASFI,ALL#WORLD#AFRMI#MAR#PORT_MASFI,false,,PORT_TERMINAL
Phuket,PHUKET_THAI,ALL#WORLD#ASIA#THA#PHUKET_THAI,false,,PORT_TERMINAL
EEZZZ Extra-Regio NUTS 3,EEZZZ,ALL#WORLD#EUR#EST#EEZ#EEZZ#EEZZZ,false,,DEPARTMENT
Isernia,ITF21,ALL#WORLD#EUR#ITA#ITF#ITF2#ITF21,false,,DEPARTMENT
Macroregion 03,UA3,ALL#WORLD#CIS#UKR#UA3,false,,NATIONAL_REGION
Poldiv,POLDV,ALL#WORLD#EUR#BGR#POLDV,false,,STATE
South Murray Mallee,SOUTH_MURRAY_MALLEE,ALL#WORLD#OCEAN#AUS#AUSOU#SOUTH_MURRAY_MALLEE,false,,FEDERAL_DISTRICT
Fairmont WY,PAIRWY,ALL#WORLD#NOAME#USA#MOUNT#WYOMI#PAIRWY,false,,CITY
Calabarzon,CALABARZON,ALL#WORLD#ASIA#PHL#CALABARZON,false,,NATIONAL_REGION
Indian Ocean,IND_OCE,IND_OCE,false,,REGION
Longkou,PORT_CNLKU,ALL#WORLD#ASIA#CHN#PORT_CNLKU,false,,PORT_TERMINAL
Itirapina,ITIRAPINA,ALL#WORLD#Americas#SOAME#BRA#SAOP#ITIRAPINA,false,,CITY
Pfaffenhofen an der Ilm,DE21J,ALL#WORLD#EUR#DEU#DE2#DE21#DE21J,false,,DEPARTMENT
Waldshut,DE13A,ALL#WORLD#EUR#DEU#DE1#DE13#DE13A,false,,DEPARTMENT
Webster Springs WV,WEBSTERSPRINGSWV,ALL#WORLD#NOAME#USA#APPAL#WESTV#WEBSTERSPRINGSWV,false,,CITY
Vĩnh Phúc,VINH,VINH,false,,REGION
Engadine MI,ENGMMI,ALL#WORLD#NOAME#USA#EASCB#MICHI#ENGMMI,false,,CITY
Alexandria & Dekheila Port,ADP,ADP,false,,PORT_TERMINAL
Kassel,DE731,ALL#WORLD#EUR#DEU#DE7#DE73#DE731,false,,DEPARTMENT
Nueva Ecija,NUEVAECIJA,ALL#WORLD#ASIA#PHL#NUEVAECIJA,false,,NATIONAL_REGION
Sao Vicente Do Sul,SAO_VICENTE_DO_SUL,ALL#WORLD#Americas#SOAME#BRA#BRASO#RIOGS#SAO_VICENTE_DO_SUL,false,,CITY
Licking MO,LICKINMO,ALL#WORLD#NOAME#USA#WECB#MISSO#LICKINMO,false,,CITY
Jihozápad,CZE_JIHOZ,ALL#WORLD#EUR#CZE_SVK#CZE#CZE_JIHOZ,false,,REGION
Waupaca WI,WAUPAWI,ALL#WORLD#NOAME#USA#EASCB#WISCO#WAUPAWI,false,,CITY
Bakhmut District,UA211,ALL#WORLD#CIS#UKR#UA2#UA21#UA211,false,,DEPARTMENT
Sanliurfa,SNLFA,ALL#WORLD#WESTE#TUR#SNLFA,false,,STATE
Nièvre,FRC12,ALL#WORLD#EUR#FRA#FRC#FRC1#FRC12,false,,DEPARTMENT
Imperia,ITC31,ALL#WORLD#EUR#ITA#ITC#ITC3#ITC31,false,,DEPARTMENT
Cuenca del Salado,CSAL,ALL#WORLD#Americas#SOAME#ARG#CSAL,false,,REGION
batumi ,BATUMI,ALL#WORLD#CIS#GEO#BATUMI,false,,PORT_TERMINAL
Norrbotten County,SE332,ALL#WORLD#EUR#SWE#SE3#SE33#SE332,false,,DEPARTMENT
West Netherland,NLD_WEST,ALL#WORLD#EUR#NLD#NLD_WEST,false,,REGION
