NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME
SOUTH_EAST_ASIA_EXCL_CHN,SOAEC,ALL#WORLD#SOAEC,False,,REGION
Palestinian Territory (Occupied),PSE,ALL#WORLD#MIDDL#PSE,False,,COUNTRY
WEST_AFRICA,WESTA,ALL#WORLD#WESTA,False,,REGION
WEST_EU,WESTE,ALL#WORLD#WESTE,False,,REGION
Holy See (Vatican City State),VAT,ALL#WORLD#WESTE#VAT,False,,COUNTRY
Virgin Islands (U.S.),VIR,ALL#WORLD#CARIB#VIR,False,,COUNTRY
Aland Islands,ALA,ALL#WORLD#ALA,False,,COUNTRY
Rest of the World,ROW,ALL#ROW,False,,WORLD
Black Sea,BSEA,ALL#WORLD#BSEA,False,,REGION
6 ports,SIXP,ALL#WORLD#SIXP,False,,REGION
East Coast,EASTC,ALL#WORLD#EASTC,False,,REGION
West Coast,WESTC,ALL#WORLD#WESTC,False,,REGION
Baltic Sea,BALTI,ALL#WORLD#BALTI,False,,REGION
Lower Danube Euroregion,LOWDA,ALL#WORLD#EUR#LOWDA,False,,NATIONAL_REGION
Adriatic Sea,ADRSE,ALL#WORLD#ADRSE,False,,NATIONAL_REGION
French Southern Territories,ATF,ALL#WORLD#ATF,False,,COUNTRY
Great Lakes,GREAT,ALL#WORLD#NOAME#GREAT,False,,NATIONAL_REGION
Western Sahara,ESH,ALL#WORLD#ESH,False,,COUNTRY
FRENCH WEST INDIES,FRENC,ALL#WORLD#FRENC,False,,COUNTRY_GROUP
Gulf of Mexico,GOLME,ALL#WORLD#NOAME#GOLME,False,,NATIONAL_REGION
AFRICA_EXCL_NTH,AFREN,ALL#WORLD#AFREN,False,,REGION
LEEWARD-WINDWARD,LEEWA,ALL#WORLD#LEEWA,False,,COUNTRY_GROUP
AFRICA_MIDDLEEAST,AFRMI,ALL#WORLD#AFRMI,False,,REGION
Others,OTHER,ALL#WORLD#OTHER,False,,COUNTRY
Pitcairn,PCN,ALL#WORLD#PCN,False,,COUNTRY
Serbia And Montenegro,SERBI,ALL#WORLD#EASTE#SERBI,False,,COUNTRY_GROUP
Kosovo,KOSOV,ALL#WORLD#EASTE#KOSOV,False,,NATIONAL_REGION
Gaza Strip,GASTR,ALL#WORLD#MIDDL#PSE#GASTR,False,,NATIONAL_REGION
West Bank,WBANK,ALL#WORLD#MIDDL#WBANK,False,,NATIONAL_REGION
ASIA_OCEANIA,ASIAO,ALL#WORLD#ASIAO,False,,REGION
Timor-Leste,TLS,ALL#WORLD#TLS,False,,COUNTRY
United States Minor Outlying Islands,UMI,ALL#WORLD#UMI,False,,COUNTRY
Yugoslavia,YUGOS,ALL#WORLD#YUGOS,False,,COUNTRY_GROUP
CARIBBEAN,CARIB,ALL#WORLD#CARIB,False,,REGION
OPL West Africa,PORT_OWA,ALL#WORLD#WESTA#PORT_OWA,False,,PORT_TERMINAL
EU13,EUR_EU13,ALL#WORLD#EUR#EUR_EU13,False,,TERRITORY
Saudi Arabia/Oman,SAU_OMN,SAU_OMN,True,"[
  ""OMN"",
  ""SAU""
]",
Federal Territory East Germany,BMEL-LOCTION-FEDERAL-TERRITORY-EAST-GERMANY,BMEL-LOCTION-FEDERAL-TERRITORY-EAST-GERMANY,False,,FEDERAL_DISTRICT
Nour,NOUR,ALL#ROW#NOUR,True,[],
NASS USA North Central,NASS_USANC,NASS_USANC,True,"[
  ""MICHI"",
  ""NODAK"",
  ""SODAK"",
  ""MINNE""
]",
 South East Asia,AREA_SEA,ALL#WORLD#ASIA#AREA_SEA,False,,REGION
Santos Tubarao Barcarena,STS_TUB_BARCA,STS_TUB_BARCA,True,"[
  ""TUBA"",
  ""SANTO"",
  ""BARCA""
]",
