NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PROBLEM,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME,COLUMN_PROBLEM
Middle Franconia,DE25,ALL#WORLD#EUR#DEU#DE2,False,,REGION,UniquenessConstraint - duplicate,DEU,2.0,DISTRICT,NAME
West,RO42,ALL#WORLD#EUR#ROU#RO4,False,,REGION,UniquenessConstraint - duplicate,ROU,2.0,COMMUNES AND VILLAGE,NAME
West,ROU_SWO_W,ALL#WORLD#EUR#ROU#ROU_SWO,False,,REGION,UniquenessConstraint - duplicate,ROU,2.0,COMMUNES AND VILLAGE,NAME
Burgundy,FRC1,ALL#WORLD#EUR#FRA#FRC,False,,REGION,UniquenessConstraint - duplicate,FRA,2.0,DEPARTMENT,NAME
Burgundy,BURGU,ALL#WORLD#EUR#FRA#PARIS,False,,STATE,UniquenessConstraint - duplicate,FRA,2.0,DEPARTMENT,NAME
Oslo,NOR_OSL,ALL#WORLD#EUR#NOR,False,,CITY,UniquenessConstraint - duplicate,NOR,1.0,COUNTY,NAME
Oslo County,NOR_OSLCNTY,ALL#WORLD#EUR#NOR,False,,COUNTY,UniquenessConstraint - duplicate,NOR,1.0,COUNTY,NAME
Grand Est,FRF,ALL#WORLD#EUR#FRA,False,,NATIONAL_REGION,UniquenessConstraint - duplicate,FRA,1.0,METROPOLITAN REGION,NAME
Grand-Est,GRAND_EST,ALL#WORLD#EUR#FRA,False,,REGION,UniquenessConstraint - duplicate,FRA,1.0,METROPOLITAN REGION,NAME
Coastal-Karst,SI044,ALL#WORLD#EUR#SVN#SI0#SI04,False,,DEPARTMENT,UniquenessConstraint - duplicate,SVN,3.0,DEPARTMENT,NAME
Coastal-Karst,SI038,ALL#WORLD#EUR#SVN#SI0#SI03,False,,DEPARTMENT,UniquenessConstraint - duplicate,SVN,3.0,DEPARTMENT,NAME
Canary Islands,CANARY,ALL#WORLD#EUR#ESP,False,,NATIONAL_REGION,UniquenessConstraint - duplicate,ESP,1.0,AUTONOMOUS COMMUNITY,NAME
Canary Islands,ES7,ALL#WORLD#EUR#ESP,False,,NATIONAL_REGION,UniquenessConstraint - duplicate,ESP,1.0,AUTONOMOUS COMMUNITY,NAME
Genoa,ITC33,ALL#WORLD#EUR#ITA#ITC#ITC3,False,,DEPARTMENT,UniquenessConstraint - duplicate,ITA,3.0,MUNICIPALITY,NAME
Genoa,GENOA,ALL#WORLD#EUR#ITA#ITNW#ITLIG,False,,CITY,UniquenessConstraint - duplicate,ITA,3.0,MUNICIPALITY,NAME
Liguria,ITC3,ALL#WORLD#EUR#ITA#ITC,False,,REGION,UniquenessConstraint - duplicate,ITA,2.0,PROVINCE,NAME
Liguria,ITLIG,ALL#WORLD#EUR#ITA#ITNW,False,,STATE,UniquenessConstraint - duplicate,ITA,2.0,PROVINCE,NAME
Stuttgart,DE11,ALL#WORLD#EUR#DEU#DE1,False,,REGION,UniquenessConstraint - duplicate,DEU,2.0,DISTRICT,NAME
