NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME,Valid
Lombardy,ITC4,ALL#WORLD#EUR#ITA#ITC,False,,REGION,ITA,2,PROVINCE,True
Lombardy,ITLOM,ALL#WORLD#EUR#ITA#ITNW,False,,STATE,ITA,2,PROVINCE,False
Middle Franconia,DEU_BAV_MIDFRANC,ALL#WORLD#EUR#DEU#BAVAR,False,,COUNTY,DEU,2,DISTRICT,False
Middle Franconia,DE25,ALL#WORLD#EUR#DEU#DE2,False,,REGION,DEU,2,DISTRICT,True
West,RO42,ALL#WORLD#EUR#ROU#RO4,False,,REGION,ROU,2,COMMUNES AND VILLAGE,True
West,ROU_SWO_W,ALL#WORLD#EUR#ROU#ROU_SWO,False,,REGION,ROU,2,COMMUNES AND VILLAGE,False
Burgundy,FRC1,ALL#WORLD#EUR#FRA#FRC,False,,REGION,FRA,2,DEPARTMENT,True
Burgundy,BURGU,ALL#WORLD#EUR#FRA#PARIS,False,,STATE,FRA,2,DEPARTMENT,False
Oslo,NOR_OSL,ALL#WORLD#EUR#NOR,False,,CITY,NOR,1,COUNTY,False
Oslo County,NOR_OSLCNTY,ALL#WORLD#EUR#NOR,False,,COUNTY,NOR,1,COUNTY,False
Grand Est,FRF,ALL#WORLD#EUR#FRA,False,,NATIONAL_REGION,FRA,1,METROPOLITAN REGION,False
Grand-Est,GRAND_EST,ALL#WORLD#EUR#FRA,False,,REGION,FRA,1,METROPOLITAN REGION,False
Coastal-Karst,SI044,ALL#WORLD#EUR#SVN#SI0#SI04,False,,DEPARTMENT,SVN,3,DEPARTMENT,True
Coastal-Karst,SI038,ALL#WORLD#EUR#SVN#SI0#SI03,False,,DEPARTMENT,SVN,3,DEPARTMENT,True --- ask abt this
Canary Islands,CANARY,ALL#WORLD#EUR#ESP,False,,NATIONAL_REGION,ESP,1,AUTONOMOUS COMMUNITY,False
Canary Islands,ES7,ALL#WORLD#EUR#ESP,False,,NATIONAL_REGION,ESP,1,AUTONOMOUS COMMUNITY,True
Genoa,ITC33,ALL#WORLD#EUR#ITA#ITC#ITC3,False,,DEPARTMENT,ITA,3,MUNICIPALITY,True
Genoa,GENOA,ALL#WORLD#EUR#ITA#ITNW#ITLIG,False,,CITY,ITA,3,MUNICIPALITY,False
Liguria,ITC3,ALL#WORLD#EUR#ITA#ITC,False,,REGION,ITA,2,PROVINCE,True
Liguria,ITLIG,ALL#WORLD#EUR#ITA#ITNW,False,,STATE,ITA,2,PROVINCE,False
Stuttgart,DE11,ALL#WORLD#EUR#DEU#DE1,False,,REGION,DEU,2,DISTRICT,True
