NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME
West,RO42,ALL#WORLD#EUR#ROU#RO4,False,,REGION,ROU,2,COMMUNES AND VILLAGE
West,ROU_SWO_W,ALL#WORLD#EUR#ROU#ROU_SWO,False,,REGION,ROU,2,COMMUNES AND VILLAGE
Burgundy,FRC1,ALL#WORLD#EUR#FRA#FRC,False,,REGION,FRA,2,DEPARTMENT
Burgundy,BURGU,ALL#WORLD#EUR#FRA#PARIS,False,,STATE,FRA,2,DEPARTMENT
Oslo,NOR_OSL,ALL#WORLD#EUR#NOR,False,,CITY,NOR,1,COUNTY
Oslo County,NOR_OSLCNTY,ALL#WORLD#EUR#NOR,False,,COUNTY,NOR,1,COUNTY
Grand Est,FRF,ALL#WORLD#EUR#FRA,False,,NATIONAL_REGION,FRA,1,METROPOLITAN REGION
Grand-Est,GRAND_EST,ALL#WORLD#EUR#FRA,False,,REGION,FRA,1,METROPOLITAN REGION
Coastal-Karst,SI044,ALL#WORLD#EUR#SVN#SI0#SI04,False,,DEPARTMENT,SVN,3,DEPARTMENT
Coastal-Karst,SI038,ALL#WORLD#EUR#SVN#SI0#SI03,False,,DEPARTMENT,SVN,3,DEPARTMENT
Canary Islands,CANARY,ALL#WORLD#EUR#ESP,False,,NATIONAL_REGION,ESP,1,AUTONOMOUS COMMUNITY
Canary Islands,ES7,ALL#WORLD#EUR#ESP,False,,NATIONAL_REGION,ESP,1,AUTONOMOUS COMMUNITY
Genoa,ITC33,ALL#WORLD#EUR#ITA#ITC#ITC3,False,,DEPARTMENT,ITA,3,MUNICIPALITY
Genoa,GENOA,ALL#WORLD#EUR#ITA#ITNW#ITLIG,False,,CITY,ITA,3,MUNICIPALITY
Liguria,ITC3,ALL#WORLD#EUR#ITA#ITC,False,,REGION,ITA,2,PROVINCE
Liguria,ITLIG,ALL#WORLD#EUR#ITA#ITNW,False,,STATE,ITA,2,PROVINCE
Stuttgart,DE11,ALL#WORLD#EUR#DEU#DE1,False,,REGION,DEU,2,DISTRICT
Stuttgart,STUTT,ALL#WORLD#EUR#DEU#BADEW,False,,CITY,DEU,2,DISTRICT
Patos De Minas,PATOS_DE_MINAS,ALL#WORLD#SOAME#BRA#BRANE#MINAS,False,,CITY,BRA,3,CITY
Patos de Minas,PTOMI,ALL#WORLD#SOAME#BRA#BRANE#MINAS,False,,CITY,BRA,3,CITY
Emilia-Romagna,ITH5,ALL#WORLD#EUR#ITA#ITH,False,,REGION,ITA,2,PROVINCE
Emilia-Romagna,ITEMR,ALL#WORLD#EUR#ITA#ITNE,False,,STATE,ITA,2,PROVINCE
Upper Palatinate,DE23,ALL#WORLD#EUR#DEU#DE2,False,,REGION,DEU,2,DISTRICT
Upper Palatinate,DEU_BAV_UPPERPALATI,ALL#WORLD#EUR#DEU#BAVAR,False,,COUNTY,DEU,2,DISTRICT
Nord - Pas-de-Calais,NPC,ALL#WORLD#EUR#FRA,False,,REGION,FRA,1,METROPOLITAN REGION
Nord-Pas-de-Calais,NORDP,ALL#WORLD#EUR#FRA,False,,NATIONAL_REGION,FRA,1,METROPOLITAN REGION
