NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,CONTINENT
Cocos (Keeling) Islands,CCK,ALL#WORLD#CCK,False,,COUNTRY,Asia
Cook Islands,COK,ALL#WORLD#COK,False,,COUNTRY,Oceania
Comoros,COM,ALL#WORLD#COM,False,,COUNTRY,Africa
Christmas Island,CXR,ALL#WORLD#CXR,False,,COUNTRY,Asia
Dominica,DMA,ALL#WORLD#DMA,False,,COUNTRY,North America
Falkland Islands (Malvinas),FLK,ALL#WORLD#FLK,False,,COUNTRY,South America
Faroe Islands,FRO,ALL#WORLD#FRO,False,,COUNTRY,Europe
"Micronesia, Federated States Of",FSM,ALL#WORLD#FSM,False,,COUNTRY,Oceania
Grenada,GRD,ALL#WORLD#GRD,False,,COUNTRY,North America
Greenland,GRL,ALL#WORLD#GRL,False,,COUNTRY,North America
Guam,GUM,ALL#WORLD#GUM,False,,COUNTRY,Oceania
Heard Island & Mcdonald Islands,HMD,ALL#WORLD#HMD,False,,COUNTRY,Oceania
British Indian Ocean Territory,IOT,ALL#WORLD#IOT,False,,COUNTRY,Asia
Jersey,JEY,ALL#WORLD#JEY,False,,COUNTRY,Europe
Kiribati,KIR,ALL#WORLD#KIR,False,,COUNTRY,Oceania
Saint Kitts And Nevis,KNA,ALL#WORLD#KNA,False,,COUNTRY,North America
Saint Lucia,LCA,ALL#WORLD#LCA,False,,COUNTRY,North America
Lesotho,LSO,ALL#WORLD#LSO,False,,COUNTRY,Africa
Maldives,MDV,ALL#WORLD#MDV,False,,COUNTRY,Asia
Marshall Islands,MHL,ALL#WORLD#MHL,False,,COUNTRY,Oceania
Northern Mariana Islands,MNP,ALL#WORLD#MNP,False,,COUNTRY,Oceania
Montserrat,MSR,ALL#WORLD#MSR,False,,COUNTRY,North America
Mayotte,MYT,ALL#WORLD#MYT,False,,COUNTRY,Africa
New Caledonia,NCL,ALL#WORLD#NCL,False,,COUNTRY,Oceania
Norfolk Island,NFK,ALL#WORLD#NFK,False,,COUNTRY,Oceania
Niue,NIU,ALL#WORLD#NIU,False,,COUNTRY,Oceania
Nauru,NRU,ALL#WORLD#NRU,False,,COUNTRY,Oceania
Palau,PLW,ALL#WORLD#PLW,False,,COUNTRY,Oceania
Papua New Guinea,PNG,ALL#WORLD#PNG,False,,COUNTRY,Oceania
South Georgia And The South Sandwich Islands,SGS,ALL#WORLD#SGS,False,,COUNTRY,Asia
