NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME
Wayne NE,WAYNE,ALL#WORLD#NOAME#USA#NOPLA#NEBRA,False,,CITY,USA,3,CITY
Formoso Do Araguaia,FORMOSO_DO_ARAGUAIA,ALL#WORLD#SOAME#BRA#BRANO#TOCAN,False,,CITY,BRA,3,CITY
Formoso do Araguaia,FORMOSO_ARG,ALL#WORLD#SOAME#BRA#BRANO#TOCAN,False,,CITY,BRA,3,CITY
Zhenjiang,ZHENJIANG,ALL#WORLD#ASIA#CHN#JIANG,False,,CITY,CHN,2,PREFECTURE-LEVEL DIVISION
Zhanjiang,ZHANJ,ALL#WORLD#ASIA#CHN#GUANG,False,,CITY,CHN,2,PREFECTURE-LEVEL DIVISION
Sao Gabriel Do Oeste,SAO_GABRIEL_DO_OESTE,ALL#WORLD#SOAME#BRA#BRASE#MATOS,False,,CITY,BRA,3,CITY
São Gabriel do Oeste,SGOMS,ALL#WORLD#SOAME#BRA#BRASE#MATOS,False,,CITY,BRA,3,CITY
Gdansk,PORT_PLGDN,ALL#WORLD#EUR#POL,False,,PORT_TERMINAL,POL,1,PORT_TERMINAL
Gdańsk,PORT_GDA,ALL#WORLD#EUR#POL,False,,PORT_TERMINAL,POL,1,PORT_TERMINAL
Rio Pardo De Minas,RIO_PARDO_DE_MINAS,ALL#WORLD#SOAME#BRA#BRANE#MINAS,False,,CITY,BRA,3,CITY
Rio Pardo de Minas,RIO_PARDO_MG,ALL#WORLD#SOAME#BRA#BRANE#MINAS,False,,CITY,BRA,3,CITY
Venda Nova do Imigrante,VEND_NOV_IMG,ALL#WORLD#SOAME#BRA#BRANE#ESPIR,False,,CITY,BRA,3,CITY
Venda Nova Do Imigrante,VENDA_NOVA_DO_IMIGRANTE,ALL#WORLD#SOAME#BRA#BRANE#ESPIR,False,,CITY,BRA,3,CITY
Caracol,CARACOL,ALL#WORLD#SOAME#BRA#BRACW#PIAUI,False,,CITY,BRA,3,CITY
Caracol,CARMS,ALL#WORLD#SOAME#BRA#BRASE#MATOS,False,,CITY,BRA,3,CITY
Southeastern Anatolia,TRC,ALL#WORLD#ASIA#TUR,False,,NATIONAL_REGION,TUR,1,PROVINCE
Southeastern Anatolia,TUR_ANATOLIA_SE,ALL#WORLD#ASIA#TUR,False,,REGION,TUR,1,PROVINCE
Guarda-Mor,GUARDA-MOR,ALL#WORLD#SOAME#BRA#BRANE#MINAS,False,,CITY,BRA,3,CITY
Guarda Mor,GUARDA,ALL#WORLD#SOAME#BRA#BRANE#MINAS,False,,CITY,BRA,3,CITY
Belém,PORT_BRNBM,ALL#WORLD#SOAME#BRA,False,,PORT_TERMINAL,BRA,1,PORT_TERMINAL
Belém,PORT_BELEM,ALL#WORLD#SOAME#BRA,False,,PORT_TERMINAL,BRA,1,PORT_TERMINAL
Sao Mateus Do Sul,SAO_MATEUS_DO_SUL,ALL#WORLD#SOAME#BRA#BRASO#PARAN,False,,CITY,BRA,3,CITY
Sao Mateus do Sul,SAOPA,ALL#WORLD#SOAME#BRA#BRASO#PARAN,False,,CITY,BRA,3,CITY
Colinas Do Tocantins,COLINAS_DO_TOCANTINS,ALL#WORLD#SOAME#BRA#BRANO#TOCAN,False,,CITY,BRA,3,CITY
Colinas do Tocantins,COLINAS_TOC,ALL#WORLD#SOAME#BRA#BRANO#TOCAN,False,,CITY,BRA,3,CITY
Anápolis,ANAPOLI,ALL#WORLD#SOAME#BRA#GOIAS,False,,CITY,BRA,2,MUNICIPALITY
Anapolis,ANAGO,ALL#WORLD#SOAME#BRA#GOIAS,False,,CITY,BRA,2,MUNICIPALITY
Tangará da Serra,TANGARA,ALL#WORLD#SOAME#BRA#BRASE#MATOG,False,,CITY,BRA,3,CITY
Tangara Da Serra,TANGARA_DA_SERRA,ALL#WORLD#SOAME#BRA#BRASE#MATOG,False,,CITY,BRA,3,CITY
Caiapônia,CAIA,ALL#WORLD#SOAME#BRA#GOIAS,False,,CITY,BRA,2,MUNICIPALITY
Caiaponia,CAIGO,ALL#WORLD#SOAME#BRA#GOIAS,False,,CITY,BRA,2,MUNICIPALITY
Guaira,GAIPA,ALL#WORLD#SOAME#BRA#BRASO#PARAN,False,,CITY,BRA,3,CITY
Guaíra,GUASA,ALL#WORLD#SOAME#BRA#BRANE#SAOPO,False,,CITY,BRA,3,CITY
RIGA,RIGA,ALL#WORLD#EUR#LVA,False,,CITY,LVA,1,STATE CITY
Riga,RIGAL,ALL#WORLD#EUR#LVA,False,,CITY,LVA,1,STATE CITY
Würzburg,WRZBURG---GER,ALL#WORLD#EUR#DEU#BAVAR,False,,TERRITORY,DEU,2,DISTRICT
Würzburg,WURZB,ALL#WORLD#EUR#DEU#BAVAR,False,,CITY,DEU,2,DISTRICT
Saxony-Anhalt,DEE,ALL#WORLD#EUR#DEU,False,,NATIONAL_REGION,DEU,1,STATE
Saxony-Anhalt Land,SAXOY,ALL#WORLD#EUR#DEU,False,,STATE,DEU,1,STATE
Hamburg,PORT_HAMBURG,ALL#WORLD#EUR#DEU,False,,CITY,DEU,1,STATE
Hamburg,DE6,ALL#WORLD#EUR#DEU,False,,NATIONAL_REGION,DEU,1,STATE
Nord - Pas-de-Calais,NPC,ALL#WORLD#EUR#FRA,False,,REGION,FRA,1,METROPOLITAN REGION
Nord-Pas-de-Calais,NORDP,ALL#WORLD#EUR#FRA,False,,NATIONAL_REGION,FRA,1,METROPOLITAN REGION
Grand Est,FRF,ALL#WORLD#EUR#FRA,False,,NATIONAL_REGION,FRA,1,METROPOLITAN REGION
Grand-Est,GRAND_EST,ALL#WORLD#EUR#FRA,False,,REGION,FRA,1,METROPOLITAN REGION
Central Italy,ITI,ALL#WORLD#EUR#ITA,False,,NATIONAL_REGION,ITA,1,AUTONOMOUS REGION
Central Italy,ITAC,ALL#WORLD#EUR#ITA,False,,NATIONAL_REGION,ITA,1,AUTONOMOUS REGION
