NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,HIERARCHY_short
Nea Moudania,NEAM,ALL#WORLD#EUR#GRC#NEAM,false,,CITY,ALL#WORLD#EUR#GRC
Valencian Community,ES52,ALL#WORLD#EUR#ESP#ES5#ES52,false,,REGION,ALL#WORLD#EUR#ESP#ES5
Poizzallo,POIZZ,ALL#WORLD#EUR#ITA#POIZZ,false,,CITY,ALL#WORLD#EUR#ITA
Duluth MN,PORT_USSUW,ALL#WORLD#NOAME#USA#PORT_USSUW,false,,PORT_TERMINAL,ALL#WORLD#NOAME#USA
Formiga,FORMIGA,ALL#WORLD#Americas#SOAME#BRA#BRANE#MINAS#FORMIGA,false,,CITY,ALL#WORLD#Americas#SOAME#BRA#BRANE#MINAS
Prešov Region,SK041,ALL#WORLD#EUR#CZE_SVK#SVK#SK0#SK04#SK041,false,,DEPARTMENT,ALL#WORLD#EUR#CZE_SVK#SVK#SK0#SK04
Bueno Brandão,BUENO_BRAND,ALL#WORLD#Americas#SOAME#BRA#BRANE#MINAS#BUENO_BRAND,false,,CITY,ALL#WORLD#Americas#SOAME#BRA#BRANE#MINAS
Azores,PRT_AZORES,ALL#WORLD#EUR#PRT#PRT_AZORES,false,,REGION,ALL#WORLD#EUR#PRT
Sao Miguel Do Oeste,SAO_MIGUEL_DO_OESTE,ALL#WORLD#Americas#SOAME#BRA#BRASO#SANTA#SAO_MIGUEL_DO_OESTE,false,,CITY,ALL#WORLD#Americas#SOAME#BRA#BRASO#SANTA
Argeș,RO311,ALL#WORLD#EUR#ROU#RO3#RO31#RO311,false,,DEPARTMENT,ALL#WORLD#EUR#ROU#RO3#RO31
La Rioja,ES230,ALL#WORLD#EUR#ESP#ES2#ES23#ES230,false,,DEPARTMENT,ALL#WORLD#EUR#ESP#ES2#ES23
Kutahya,KTHY,ALL#WORLD#WESTE#TUR#KTHY,false,,STATE,ALL#WORLD#WESTE#TUR
Hampshire and Isle of Wight,GBR_HAMP_ISLEWIGHT,ALL#WORLD#EUR#GBR#GBR_HAMP_ISLEWIGHT,false,,REGION,ALL#WORLD#EUR#GBR
Kırıkkale,TR711,ALL#WORLD#WESTE#TUR#TR7#TR71#TR711,false,,DEPARTMENT,ALL#WORLD#WESTE#TUR#TR7#TR71
Capelinha,CAPELINHA,ALL#WORLD#Americas#SOAME#BRA#BRANE#MINAS#CAPELINHA,false,,CITY,ALL#WORLD#Americas#SOAME#BRA#BRANE#MINAS
Artenay,ARTEN,ALL#WORLD#EUR#FRA#ARTEN,false,,CITY,ALL#WORLD#EUR#FRA
Klagenfurt-Villach,AT211,ALL#WORLD#EUR#AUT#AT2#AT21#AT211,false,,DEPARTMENT,ALL#WORLD#EUR#AUT#AT2#AT21
Spree-Neisse,DE40G,ALL#WORLD#EUR#DEU#DE4#DE40#DE40G,false,,DEPARTMENT,ALL#WORLD#EUR#DEU#DE4#DE40
Ahrweiler,AHRWEILER--GER,ALL#WORLD#EUR#DEU#RHINE#AHRWEILER--GER,false,,TERRITORY,ALL#WORLD#EUR#DEU#RHINE
Krasnodar Krai,PORT_RUKRR,ALL#WORLD#CIS#RUS#PORT_RUKRR,false,,PORT_TERMINAL,ALL#WORLD#CIS#RUS
Münster,DEU_NW_MUN,ALL#WORLD#EUR#DEU#DE-NW#DEU_NW_MUN,false,,CITY,ALL#WORLD#EUR#DEU#DE-NW
Lower Franconia,DEU_BAV_LOWFRANC,ALL#WORLD#EUR#DEU#BAVAR#DEU_BAV_LOWFRANC,false,,DEPARTMENT,ALL#WORLD#EUR#DEU#BAVAR
Osvaldo Cruz,OSVALDOCRUZ,ALL#WORLD#Americas#SOAME#BRA#BRANE#SAOPO#OSVALDOCRUZ,false,,CITY,ALL#WORLD#Americas#SOAME#BRA#BRANE#SAOPO
Charleroi PA,CHAPEN,ALL#WORLD#NOAME#USA#NOEAS#PENNS#CHAPEN,false,,CITY,ALL#WORLD#NOAME#USA#NOEAS#PENNS
Palmeira do Piauí,PALMERIRPIAUI,ALL#WORLD#Americas#SOAME#BRA#BRACW#PIAUI#PALMERIRPIAUI,false,,CITY,ALL#WORLD#Americas#SOAME#BRA#BRACW#PIAUI
Massa-Carrara,ITI11,ALL#WORLD#EUR#ITA#ITI#ITI1#ITI11,false,,DEPARTMENT,ALL#WORLD#EUR#ITA#ITI#ITI1
Whiteville,WHITE,ALL#WORLD#NOAME#USA#APPAL#NOCAR#WHITE,false,,CITY,ALL#WORLD#NOAME#USA#APPAL#NOCAR
Bitung,BITUNG,ALL#WORLD#ASIA#IDN#BITUNG,false,,CITY,ALL#WORLD#ASIA#IDN
CENTRAL NORTH SANTA FE,CN_SANTA_FE,ALL#WORLD#Americas#SOAME#ARG#CN_SANTA_FE,false,,REGION,ALL#WORLD#Americas#SOAME#ARG
Clevelandia,CLEVELANDIA,ALL#WORLD#Americas#SOAME#BRA#BRASO#PARAN#CLEVELANDIA,false,,CITY,ALL#WORLD#Americas#SOAME#BRA#BRASO#PARAN
Riau Islands,RIAS,ALL#WORLD#ASIA#IDN#RIAS,false,,REGION,ALL#WORLD#ASIA#IDN
Jim Falls WI,JIMFALWI,ALL#WORLD#NOAME#USA#EASCB#WISCO#JIMFALWI,false,,CITY,ALL#WORLD#NOAME#USA#EASCB#WISCO
Santa cruz de tenerife,CRUZ,ALL#WORLD#EUR#ESP#CRUZ,false,,CITY,ALL#WORLD#EUR#ESP
Central Panhandle TX,CPTX,ALL#WORLD#NOAME#USA#SOPLA#TEXAS#CPTX,false,,REGION,ALL#WORLD#NOAME#USA#SOPLA#TEXAS
Flensburg (Independent City),DEF01,ALL#WORLD#EUR#DEU#DEF#DEF0#DEF01,false,,DEPARTMENT,ALL#WORLD#EUR#DEU#DEF#DEF0
Zaragoza,ES243,ALL#WORLD#EUR#ESP#ES2#ES24#ES243,false,,DEPARTMENT,ALL#WORLD#EUR#ESP#ES2#ES24
Northern Netherlands,NL1,ALL#WORLD#EUR#NLD#NL1,false,,NATIONAL_REGION,ALL#WORLD#EUR#NLD
NORTH BELT,N_BELT,ALL#WORLD#Americas#SOAME#ARG#N_BELT,false,,NATIONAL_REGION,ALL#WORLD#Americas#SOAME#ARG
Western Slovenia,SI04,ALL#WORLD#EUR#SVN#SI0#SI04,false,,REGION,ALL#WORLD#EUR#SVN#SI0
Port of Agadir,PORT_AGA,ALL#WORLD#AFRMI#MAR#PORT_AGA,false,,CITY,ALL#WORLD#AFRMI#MAR
Saudi Arabia - Persian Gulf,SAUPERS,ALL#WORLD#AFRMI#SAU#SAUPERS,false,,REGION,ALL#WORLD#AFRMI#SAU
Gann Valley SD,GANNVALESD,ALL#WORLD#NOAME#USA#NOPLA#SODAK#GANNVALESD,false,,CITY,ALL#WORLD#NOAME#USA#NOPLA#SODAK
Bagaevskaya,BAGAE,ALL#WORLD#CIS#RUS#SOUFD#ROSFS#BAGAE,false,,CITY,ALL#WORLD#CIS#RUS#SOUFD#ROSFS
Yancheng,YANCHENG,ALL#WORLD#ASIA#CHN#JIANG#YANCHENG,false,,CITY,ALL#WORLD#ASIA#CHN#JIANG
Bom Jesus da Lapa,BOM_JESUS_LAP,ALL#WORLD#Americas#SOAME#BRA#BRACW#BAHIA#BOM_JESUS_LAP,false,,CITY,ALL#WORLD#Americas#SOAME#BRA#BRACW#BAHIA
Yalta District,UA44A,ALL#WORLD#CIS#UKR#UA4#UA44#UA44A,false,,DEPARTMENT,ALL#WORLD#CIS#UKR#UA4#UA44
Northeast IN,NEIN,ALL#WORLD#NOAME#USA#EASCB#INDIA#NEIN,false,,REGION,ALL#WORLD#NOAME#USA#EASCB#INDIA
Kinta District,KINTA,ALL#WORLD#ASIA#MYS#KINTA,false,,FEDERAL_DISTRICT,ALL#WORLD#ASIA#MYS
Detmold,DEA4,ALL#WORLD#EUR#DEU#DEA#DEA4,false,,REGION,ALL#WORLD#EUR#DEU#DEA
Malden Municipal,MML,ALL#WORLD#NOAME#USA#WECB#MISSO#MML,false,,CITY,ALL#WORLD#NOAME#USA#WECB#MISSO
Montreal,PORT_CAMTR,ALL#WORLD#NOAME#CAN#PORT_CAMTR,false,,PORT_TERMINAL,ALL#WORLD#NOAME#CAN
Ludwigslust-Parchim District,LUDWIGSLUST-PARCHIMDISTRICT---GER,ALL#WORLD#EUR#DEU#MECKL#LUDWIGSLUST-PARCHIMDISTRICT---GER,false,,TERRITORY,ALL#WORLD#EUR#DEU#MECKL
Borken,BORKEN--GER,ALL#WORLD#EUR#DEU#NRHWE#BORKEN--GER,false,,TERRITORY,ALL#WORLD#EUR#DEU#NRHWE
Tarjun,PORT_IDTAR,ALL#WORLD#ASIA#IDN#PORT_IDTAR,false,,PORT_TERMINAL,ALL#WORLD#ASIA#IDN
Maputo,PORT_MZMPM,ALL#WORLD#AFRMI#MOZ#PORT_MZMPM,false,,PORT_TERMINAL,ALL#WORLD#AFRMI#MOZ
Rancharia,RANCHARIA,ALL#WORLD#Americas#SOAME#BRA#BRANE#SAOPO#RANCHARIA,false,,CITY,ALL#WORLD#Americas#SOAME#BRA#BRANE#SAOPO
Nord-Est (RO),ROU_MACRO2_NE,ALL#WORLD#EUR#ROU#ROU_MACRO2#ROU_MACRO2_NE,false,,REGION,ALL#WORLD#EUR#ROU#ROU_MACRO2
Puget Sound,PORT_USPGQ,ALL#WORLD#NOAME#USA#PORT_USPGQ,false,,PORT_TERMINAL,ALL#WORLD#NOAME#USA
Xingtai,PORT_CNXGI,ALL#WORLD#ASIA#CHN#PORT_CNXGI,false,,PORT_TERMINAL,ALL#WORLD#ASIA#CHN
Koszalin County,PL426,ALL#WORLD#EUR#POL#PL4#PL42#PL426,false,,DEPARTMENT,ALL#WORLD#EUR#POL#PL4#PL42
Cruz Das Almas,CRUZ_DAS_ALMAS,ALL#WORLD#Americas#SOAME#BRA#BRACW#BAHIA#CRUZ_DAS_ALMAS,false,,CITY,ALL#WORLD#Americas#SOAME#BRA#BRACW#BAHIA
ALZZ Extra-Regio level 2,ALZZ,ALL#WORLD#EASTE#ALB#ALZ#ALZZ,false,,REGION,ALL#WORLD#EASTE#ALB#ALZ
Thessaly,GRC_THESSALY,ALL#WORLD#EUR#GRC#GRC_THESSALY,false,,REGION,ALL#WORLD#EUR#GRC
Foloro,FOLORO,ALL#WORLD#WESTE#NOR#FOLORO,false,,CITY,ALL#WORLD#WESTE#NOR
Aragon,ES24,ALL#WORLD#EUR#ESP#ES2#ES24,false,,REGION,ALL#WORLD#EUR#ESP#ES2
Phu My,PHUMY,ALL#WORLD#ASIA#VNM#PHUMY,false,,CITY,ALL#WORLD#ASIA#VNM
Brebes,BREBES,ALL#WORLD#ASIA#IDN#CENTRALJAVA#BREBES,false,,REGION,ALL#WORLD#ASIA#IDN#CENTRALJAVA
Burdur,TR613,ALL#WORLD#WESTE#TUR#TR6#TR61#TR613,false,,DEPARTMENT,ALL#WORLD#WESTE#TUR#TR6#TR61
Tirschenreuth,DE23A,ALL#WORLD#EUR#DEU#DE2#DE23#DE23A,false,,DEPARTMENT,ALL#WORLD#EUR#DEU#DE2#DE23
APM,apm,ALL#WORLD#CTLAM#GTM#ESCGU#PUQGU#apm,false,,PORT_TERMINAL,ALL#WORLD#CTLAM#GTM#ESCGU#PUQGU
Recalada,PORT_RECALADA,ALL#WORLD#Americas#SOAME#ARG#SE_BUENOSAIRES#PORT_RECALADA,false,,CITY,ALL#WORLD#Americas#SOAME#ARG#SE_BUENOSAIRES
Tokuyama,TOKO,ALL#WORLD#ASIA#JPN#TOKO,false,,CITY,ALL#WORLD#ASIA#JPN
Basel,BAS,ALL#WORLD#WESTE#CHE#BAS,false,,CITY,ALL#WORLD#WESTE#CHE
East Coast India,AREA_ECI,ALL#WORLD#AREA_ECI,false,,REGION,ALL#WORLD
South Atlantic,SATLANTICUSA,ALL#WORLD#NOAME#USA#SATLANTICUSA,false,,REGION,ALL#WORLD#NOAME#USA
Bartın,TR813,ALL#WORLD#WESTE#TUR#TR8#TR81#TR813,false,,DEPARTMENT,ALL#WORLD#WESTE#TUR#TR8#TR81
ESZ Extra-Regio NUTS 1,ESZ,ALL#WORLD#EUR#ESP#ESZ,false,,NATIONAL_REGION,ALL#WORLD#EUR#ESP
Silvania,SILVANIA,ALL#WORLD#Americas#SOAME#BRA#GOIAS#SILVANIA,false,,CITY,ALL#WORLD#Americas#SOAME#BRA#GOIAS
Kaiyuan,Kaiyuan,ALL#WORLD#ASIA#CHN#LIAON#Kaiyuan,false,,CITY,ALL#WORLD#ASIA#CHN#LIAON
Caspian Sea Russia,CASPRUS,ALL#WORLD#CIS#RUS#CASPRUS,false,,REGION,ALL#WORLD#CIS#RUS
US/SAM/SAF,US_SAM_SAF,US_SAM_SAF,true,[],,US_SAM_SAF
Aracaju,PORT_BRAJU,ALL#WORLD#Americas#SOAME#BRA#PORT_BRAJU,false,,PORT_TERMINAL,ALL#WORLD#Americas#SOAME#BRA
Marilandia,MARILANDIA,ALL#WORLD#Americas#SOAME#BRA#BRANE#ESPIR#MARILANDIA,false,,CITY,ALL#WORLD#Americas#SOAME#BRA#BRANE#ESPIR
SAM/EU,SAM_EU,SAM_EU,true,[],,SAM_EU
SAN LUIS ARG,SAN_LUIS,ALL#WORLD#Americas#SOAME#ARG#SAN_LUIS,false,,NATIONAL_REGION,ALL#WORLD#Americas#SOAME#ARG
Dél-Dunántúl,HUN_SOUTH_TRANSDANUB,ALL#WORLD#EUR#HUN#HUN_SOUTH_TRANSDANUB,false,,REGION,ALL#WORLD#EUR#HUN
Joaquim Tavora,JOAQUIM_TAVORA,ALL#WORLD#Americas#SOAME#BRA#BRASO#PARAN#JOAQUIM_TAVORA,false,,CITY,ALL#WORLD#Americas#SOAME#BRA#BRASO#PARAN
Drôme,FRK23,ALL#WORLD#EUR#FRA#FRK#FRK2#FRK23,false,,DEPARTMENT,ALL#WORLD#EUR#FRA#FRK#FRK2
Park Forest,PFST,ALL#WORLD#NOAME#USA#EASCB#ILLIN#PFST,false,,CITY,ALL#WORLD#NOAME#USA#EASCB#ILLIN
Northwest OK,NWOKLAH,ALL#WORLD#NOAME#USA#SOPLA#OKLAH#NWOKLAH,false,,REGION,ALL#WORLD#NOAME#USA#SOPLA#OKLAH
